node	reconstructed	mean	clade
219	0.466254844676726	0.195331408666582	excluded
220	0.792009992080327	0.268130544771195	excluded
221	0.98559095001993	0.420852494784417	excluded
222	0.208048580512719	0.154706501481585	ctenotus
223	0.614768363218269	0.571617662598443	ctenotus
224	0.447487301327016	0.548772511956484	ctenotus
225	1.63015311092451	1.39589619277808	ctenotus
226	3.63313103973287	1.28376156812136	ctenotus
227	0.400007823528568	0.338214522156951	ctenotus
228	1.2695452513978	1.4642418210008	ctenotus
229	0.923662086218295	1.15786635031084	ctenotus
230	1.87735702452545	1.35078741194895	ctenotus
231	0.621466083912086	0.72677911166695	ctenotus
232	0	0.220597450634755	ctenotus
233	0.129038381120765	0.678126035173638	ctenotus
234	1.71144761139007	0.664381099518291	ctenotus
235	1.54357962680907	1.05646326117171	ctenotus
236	0.08062167979378	0.1030320440719	ctenotus
237	0.487637883021011	0.30994932724119	ctenotus
238	0.337092054939775	0.409910971716421	ctenotus
239	0.343940514825027	0.293168715849304	ctenotus
240	0.59786458918847	0.750269687213562	ctenotus
241	0.793372982985505	0.801004810443746	ctenotus
242	0.419377611449403	0.524831790526631	ctenotus
243	0.0760011916568102	0.25495359795011	ctenotus
244	0.420166244167743	0.495278628237114	ctenotus
245	0.0133572978072301	0.134856552044469	ctenotus
246	0.569298046278982	0.424977837246647	ctenotus
247	0.456380762825195	0.486044230182883	ctenotus
248	0.25521863159894	0.32871360739217	ctenotus
249	0.0237452921410775	0.0385792283412784	ctenotus
250	0.158303743282345	0.183518195565568	ctenotus
251	0.591252773029208	0.0681886092911314	ctenotus
252	0.605624063133002	0.499424283143691	ctenotus
253	1.33424288648133	0.690842947137575	ctenotus
254	0.34614127098785	0.362468854691135	ctenotus
255	0.293053837783235	0.181599936408099	ctenotus
256	1.12892525763562	0.702899617153132	ctenotus
257	0	0.122209922766156	ctenotus
258	0.0880648410642602	0.0940671603597181	ctenotus
259	0.0249599393128099	0.0289374649573914	ctenotus
260	0.0145059877313001	0.0483156568202882	ctenotus
261	0	0.106295937347468	ctenotus
262	0.34944753515008	0.445987975908854	ctenotus
263	0.0832211576595601	0.357672724547033	ctenotus
264	0.605891674137938	0.630088183038235	ctenotus
265	0.00373671539190523	0.0422019810837311	ctenotus
266	0.275092892571737	0.654195739682897	ctenotus
267	0.06026600021857	0.13120865539566	ctenotus
268	0.0173391954462652	0.0133999953366391	ctenotus
269	0.0326999438381854	0.0220576479811507	ctenotus
270	0.0558744875964301	0.0917493807984599	ctenotus
271	0.0841857120594081	0.157682357850432	ctenotus
272	0.12912085458708	0.137576011494429	ctenotus
273	0.215825676520262	0.153055683802276	ctenotus
274	0.09971281094171	1.59839610035772	ctenotus
275	0.0384815612762435	0.0445474016761751	ctenotus
276	0.103375152298831	0.0491739910925476	ctenotus
277	0.00739734162820649	0.0807131244009515	ctenotus
278	0.029434668616699	0.0590434275768315	ctenotus
279	0.0645000031091709	0.353677940040776	ctenotus
280	0.74422088025672	0.427745530905789	ctenotus
281	0.249332580428048	0.416047551489642	ctenotus
282	0.676914811765259	0.409146856755097	ctenotus
283	0.0654533668371604	0.154812480828263	ctenotus
284	0.398580213403154	0.246032006394956	ctenotus
285	0.471955089807123	0.436641311958913	ctenotus
286	1.26659545476605	0.888728531474749	ctenotus
287	0.000863889501921955	0.0219793872045336	ctenotus
288	0.0168328882356925	0.166744442739983	ctenotus
289	0.092229078471515	0.116967514204936	ctenotus
290	0.230038717475371	0.210685256921484	ctenotus
291	0.292872348799397	0.283258197596049	ctenotus
292	0.19400797767247	0.11831640321207	ctenotus
293	0.044305999608415	0.0509573296775906	ctenotus
294	0.10112143334132	0.0905491564899435	ctenotus
295	0	0.0859991708937944	ctenotus
296	0.36723873274238	0.171425879458765	ctenotus
297	0	0.403334755801795	ctenotus
298	2.34283279861954	1.45085661904557	ctenotus
299	0.34356704219536	0.584098835259995	ctenotus
300	0.223778411809846	0.537634913575837	ctenotus
301	0.0040907987221801	0.462570537374837	ctenotus
302	0.626152607980674	1.17504848535999	ctenotus
303	1.88738575178845	1.14561093813371	ctenotus
304	0.114971337958741	0.557843859408354	ctenotus
305	0.0193058336033025	0.0502803583666127	ctenotus
306	1.55956816643394	0.411817488605521	ctenotus
307	0	0.0051606886335241	ctenotus
308	0.2247806496652	0.190775159568137	ctenotus
309	0.0955193317372602	0.166863039839488	lerista
310	1.08750020225235	0.768469206108743	lerista
311	3.5128763276085	0.779360032783095	lerista
312	1.47886661740587	0.913449409463007	lerista
313	0.848259377156486	0.818921898312489	lerista
314	0.805272443069077	0.222131366209814	lerista
315	1.2202229967987	0.817344607155538	lerista
316	2.02637068459193	0.830767014857538	lerista
317	0.41425308581417	0.507749470315768	lerista
318	0.0378696844225628	0.123651397720924	lerista
319	0.161224060487875	0.0778867645636787	lerista
320	0	0.0240953884268023	lerista
321	0.0301720333811999	0.0178210043697297	lerista
322	0.139124253965615	0.0823560099227169	lerista
323	1.56396553120339	0.984917503782907	lerista
324	0.0113669415803248	0.105904520179765	lerista
325	0.00388015983131162	0.205304057348211	lerista
326	0.231356506512408	0.399378498747745	lerista
327	5.50539931099238	2.02697408688899	lerista
328	1.30230697301973	0.674365365128836	lerista
329	0.313407121213283	0.544870348234483	lerista
330	0.2346521244326	0.143880016614178	lerista
331	0.208027189428113	0.194321071195094	lerista
332	0.788251768025028	0.760169932641284	lerista
333	1.23037281716627	0.598831060598268	lerista
