sim	param	true	EMPIRE	rase	ess	mean_a	ratio
1	sigma_x	0.932808704674244	0.89858672255229	1.69375246493868	1400.62863947901	-1.82439230952571	0.815755423862792
1	sigma_y	0.201983017381281	0.187092294517249	0.475981020659581	1629.10350004503	-1.82439230952571	1.35653980631984
1	root_x	-0.353400285829911	-0.179329509785581	-19.4778425526136	2330.65567281345	-1.82439230952571	54.1155257468812
1	root_y	0.170489470947982	0.706471186804991	-5.41145437217132	2070.99103738461	-1.82439230952571	32.7406954346313
2	sigma_x	0.435651870910078	0.453818493946928	1.91895409292667	181.778495809875	2.50506810305778	3.40478790764278
2	root_x	-0.162225295911029	-0.309823291752249	2.00984496770088	2105.36277004147	2.50506810305778	13.3892205368709
3	sigma_y	0.262317587388679	0.311310278494277	1.12033609775995	17.6284817430686	2.36542070409946	3.27091492001236
3	root_y	0.901647861973713	-0.0491790138871583	-57.6300618981882	289.759344538408	2.36542070409946	64.9163739289922
4	sigma_x	0.354194046463817	0.331959484708858	0.205684757378209	6.99357466211498	2.38332485729182	0.419287931483565
4	sigma_y	0.728580018505454	0.729632076148506	0.673357508571647	12.9944799760108	2.38332485729182	0.075794708242323
4	root_x	-1.37348188747219	0.128012822738495	0.768054895211974	293.459028402131	2.38332485729182	1.55920278397375
4	root_y	-1.12795992930285	0.0148269965821293	0.97931576943994	1406.09927683935	2.38332485729182	1.86821858117355
5	sigma_x	0.396629426395521	0.313164820152976	0.254793531117763	59.1822150918466	-1.22748211746182	0.357603056754337
5	sigma_y	0.131984238047153	0.131651973480289	0.124011599971664	53.556879464496	-1.22748211746182	0.0604059863014877
5	root_x	0.326648604433737	0.204194366660604	0.668525899544896	12530.0560468924	-1.22748211746182	1.04662101864424
5	root_y	-2.70787788745313	-1.58418812940893	-18.6498272506917	15189.255359394	-1.22748211746182	5.88724825336663
7	sigma_x	0.226591604063287	0.22385441118243	15.3468035533981	35.0156911114411	8.28722982559312	66.7289152739824
7	sigma_y	0.0420301186386496	0.0367344650999919	8.89672341597309	85.4081998540788	8.28722982559312	210.674953679335
7	root_x	-0.864487835396228	-0.168378024304547	-27.3748656306606	459.069405432053	8.28722982559312	30.6659928686141
7	root_y	-0.299145311637362	-0.189283530479644	-4.28992570761429	820.187301230217	8.28722982559312	13.3406081951728
8	sigma_y	0.193423376884311	0.19749751477447	6.24357657830693	52.9721011025066	4.74446333852322	31.2793277569613
8	root_x	-0.327793465952175	-0.486895516511375	1.77425059144123	3596.87406235431	4.74446333852322	6.41270884179274
8	root_y	0.53821273111495	0.41596676851346	13.0232460042214	4296.1516933859	4.74446333852322	23.1972091170023
9	sigma_x	0.530052522895858	0.538434238904325	0.448559069756175	672.952482862474	-3.39199795144674	0.153745996141018
9	sigma_y	0.241874041268602	0.219459930555841	0.220694774366434	950.795822406408	-3.39199795144674	0.0875632076558727
9	root_x	0.0880601285419704	0.346412100114722	1.27644317785996	7810.95936415822	-3.39199795144674	13.4951318944713
9	root_y	1.07006317210437	0.624151783109187	1.23571474510635	7581.27006664376	-3.39199795144674	0.154805414596423
10	sigma_x	0.993594827596098	0.900025295983885	71.6229828019886	201.499970177381	3.99821194036451	71.0846977185591
10	sigma_y	0.518628119723871	0.573003629412966	1513.56356590369	109.104546483451	3.99821194036451	2917.39857566832
10	root_x	-0.845226196656622	-0.271415765354746	165.839549429582	695.260757293136	3.99821194036451	197.207299401719
10	root_y	0.149424849370742	-0.459279238318592	-175.440279299769	834.389177409989	3.99821194036451	1175.10377215425
11	sigma_y	0.33885378530249	0.391030030027712	1.29607880446857	42.338258852065	5.03359102457638	2.82489103172207
11	root_y	-0.635774057796519	0.260522680742732	-6.46534104952642	7732.02302873785	5.03359102457638	9.1692432559047
12	sigma_y	0.76776764402166	0.707610434598899	4.86556348134614	3360.05564571781	0.728588011376579	5.3372864423665
12	root_x	-1.15088146052173	0.0860612666653537	-0.805347330678567	4940.68828877371	0.728588011376579	0.300234334895378
12	root_y	0.400818844396653	0.137080191658726	-1.48292631193571	6599.75270310201	0.728588011376579	4.69974199733033
14	sigma_x	0.951133182039484	0.887508722815436	15.9722442771918	52.0014206319679	7.38671468112751	15.7928578024615
14	sigma_y	0.715963885188103	0.717095633662868	21.2031640300788	98.0823729532388	7.38671468112751	28.6148513475763
14	root_x	-0.152105918418846	-0.50063419529543	-29.4989437692602	2565.72590687841	7.38671468112751	192.936857131558
14	root_y	0.545926680506551	-0.0456930735337362	-25.8186883902397	2926.63521641052	7.38671468112751	48.2933258478652
16	sigma_x	0.773142646299675	0.833329624847431	1.23116914688249	102.114454215242	2.52333968695198	0.592421725505594
16	sigma_y	0.16025009076111	0.143115221950815	1.14467588500089	108.578367707902	2.52333968695198	6.14305919930676
16	root_x	-2.16781464799327	-0.454344123278332	-2.30525410862846	4092.88356922518	2.52333968695198	0.0634000055135765
16	root_y	-0.309154813898399	-0.456562148968244	0.389786490304732	5407.19925093313	2.52333968695198	2.26081326500978
17	sigma_x	0.68756683380343	0.664062846720552	2.23570246570496	57.5262836346495	4.21011487062718	2.25161476061559
17	sigma_y	0.515324061736465	0.57041385736892	0.530606143360635	48.6482684404773	4.21011487062718	0.0296552844295201
17	root_x	-0.286466076519664	0.221282044636528	0.24666085782221	6051.10800313938	4.21011487062718	1.86104735617894
17	root_y	2.20608466711496	0.712197065962328	3.21276089703182	6476.63375344738	4.21011487062718	0.45631803934042
18	root_x	-0.278024011522198	-0.594749726695235	-27.2733271998644	6882.10704965992	8.10751782705758	97.0970206513506
18	root_y	1.92008195409555	1.08603054866617	0.734350964122009	5743.99061593569	8.10751782705758	0.617541864525297
19	sigma_x	0.273666120599955	0.272198192314627	43.1039904266081	184.90552724825	2.93244713639222	156.505760421172
19	sigma_y	0.400533427717164	0.332513649115552	31.8544679521186	131.401747363642	2.93244713639222	78.5301109664499
19	root_x	-0.656369797150725	-0.349996634245704	-58.1139622299483	14004.1140524807	2.93244713639222	87.538446592483
19	root_y	0.120104356109006	0.472908450619482	-99.9389767166157	15137.3852887904	2.93244713639222	833.101182291104
20	sigma_x	0.939167114673182	0.740344157192657	0.738324564856995	100.47311139368	2.23099982716381	0.21385177001867
20	sigma_y	0.99127585766837	0.749722708606409	0.580490307899952	149.317870411914	2.23099982716381	0.414400841693701
20	root_x	-1.66197160524396	-0.0930364619192906	-8.39530207410882	2702.72624255706	2.23099982716381	4.05141125613664
20	root_y	1.73210709758088	-0.148698136195352	-7.05603148899556	2797.06172554467	2.23099982716381	5.07366928918556
21	sigma_y	0.750732749700546	0.912183231194076	2.20068496730762	69.0480246520304	3.75308622937163	1.93138266338512
21	root_y	1.88855374524469	0.0461984601649549	4.5970204408515	8631.60952263709	3.75308622937163	1.43414859250187
22	sigma_y	0.750883996021003	0.496791018122874	3.48211742820365	38.6177208001276	6.8559168206997	3.6373573636616
22	root_x	-0.112035495017729	0.12412708408394	-0.644441651851994	1451.13949314567	6.8559168206997	4.75212035926663
