taxon,x,y,r,s,a
Lerista hobsoni,145.045009707355,-19.9647532581397,6.0634149702831,1.06806432463693,0.366631994271579
Lerista humphriesi,114.250713587374,-27.1396501343503,3.03251153542815,6.89938224764835,-1.21132237457975
Lerista ingrami,145.245191959466,-15.0259924281219,5.72274935435298,5.68169376667914,-3.93298540016841
Lerista ips,124.281090870209,-22.2453517238455,7.89485631575207,0.0784706646175184,3.59400182138845
Lerista kalumburu,126.508966085234,-14.7182646418757,0.825556121431991,5.96205761527283,0.323120667114825
Lerista karlschmidti,134.985771442999,-13.4115005226663,-17.2560423308688,7.92878487210436,2.26883251353824
Lerista kendricki,114.05259151521,-26.8687104508324,-0.736178923486806,17.8700784245241,-2.48976336929598
Lerista kennedyensis,115.046630916351,-24.3674350906043,-0.606971345358486,4.69958511115864,-1.91950896038101
Lerista labialis,133.206675774938,-25.7572065415149,-7.49908617820261,3.2071130867538,5.37505664767841
Lerista lineata,114.570575610003,-27.9289282569441,-6.29618160901917,24.7741896951327,0.220621869804784
Lerista lineopunctulata,114.689852042572,-27.5638776259284,-6.53651700081601,24.3699742459626,0.811860382068041
Lerista macropisthopus,117.543687221915,-26.3124793797618,-2.80032400099958,7.22282149679093,4.07740903359923
Lerista microtis,122.817265156605,-33.7287634502495,29.7420102730224,1.27495052337227,2.49803999031395
Lerista miopus,114.788359424755,-28.598266571326,-8.40944209609448,22.6256346920908,0.601758922448885
Lerista muelleri,135.351599392032,-28.6867834605383,-16.4678371615292,1.19418804418273,5.31138456737432
Lerista neander,119.120263865671,-24.0866858452978,0.841308696729784,5.05997427067289,1.82705220721789
Lerista nichollsi,116.711799953089,-27.2957869087255,-4.41548856027114,6.58590286374663,1.85822907578006
Lerista onsloviana,114.773169001983,-22.3835175488891,4.79262040040876,8.56348580574486,-0.366218989581288
Lerista orientalis,133.397550777922,-15.7606872909789,-6.38317104399531,1.14935100391233,4.21626839858878
Lerista petersoni,115.220041842826,-23.5674130747341,-6.14126849815715,5.00972440383623,1.49841913838574
Lerista picturata,122.436754370105,-31.3946271793761,-7.01542440088167,2.46670317904949,2.8006547902237
Lerista planiventralis,114.624485752395,-25.7678432086133,-2.43056465523714,19.3574473211181,1.6164922163499
Lerista praepedita,114.863786206736,-27.6943565860744,-5.9808709215555,21.9406791834439,1.0561955510021
Lerista punctatovittata,144.913768962306,-28.8543510569525,4.1178380945499,6.04417651239755,4.91405258965298
Lerista puncticauda,123.771771854325,-29.9352386504263,7.17363017362135,3.22472608772588,-0.151975622869655
Lerista robusta,125.013556903436,-18.7535292745572,-3.23905708613206,0.172908518448775,-0.961356563935313
Lerista rochfordensis,146.707959457458,-20.1722322751323,-1.27788209328615,15.6447167202145,-3.5098260553568
Lerista simillima,124.837888854537,-17.936706755382,-11.4422300381645,2.60564907528022,-0.206920017784359
Lerista speciosa,131.707354241908,-26.1521345185749,-9.09339536959139,5.40794663736983,0.429526866856088
Lerista stictopleura,116.837093812365,-24.3132580960924,-3.8532859445031,3.35022699772771,-1.83207611940573
Lerista storri,144.200898853386,-17.5975487286897,-0.506984778859644,1.11070478018917,0.705402615664826
Lerista stylis,133.589595389571,-13.4540726538627,-18.9542544162378,1.4595559666579,1.15572987248584
Lerista taeniata,130.993058880578,-25.7370679761634,-3.95990681787987,5.20882419815801,5.10706845235214
Lerista terdigitata,135.90881537912,-32.6813681320991,-12.8035235287123,4.08522630235791,2.31196243161742
Lerista timida,134.147774976615,-28.1945853113876,-14.7093346089319,1.15632608303375,5.40215250473517
Lerista tridactyla,122.976520671167,-31.8739308688761,6.44856729599237,1.32857411401412,1.39955244582647
Lerista uniduo,114.963793229081,-24.9073045672206,-1.50475418896526,11.0494343767552,2.13887913955873
Lerista vanderduysi,144.01811805049,-19.2505335991405,4.24394933619197,0.961041336913199,-0.836206779770904
Lerista varia,113.672314119421,-25.714060934364,-1.96087543457507,17.4732129596847,0.334262489534536
Lerista vermicularis,124.911335059595,-20.9614859802408,-6.62641063042008,0.207567834412841,3.44112688996208
Lerista viduata,120.048650580298,-33.5542751383923,-11.2842424351493,0.688129661635751,-2.54577844626065
Lerista vittata,146.824608773506,-20.4950411284244,-6.89941903069338,1.39554384833417,-3.0927159723509
Lerista walkeri,125.397802766697,-15.3793328773733,5.31591874843616,6.02806765005408,0.705194243814152
Lerista wilkinsi,145.115964281412,-20.7050030855946,-5.96029358158819,4.82775351386002,-0.243537720323727
Lerista xanthura,125.235071142977,-23.3349694708074,11.2503918861679,0.0389728266502952,3.36862855816801
Lerista yuna,115.248996167604,-28.3313911492295,-3.89992256608539,7.69353806067868,-1.7200826926877
Lerista zonulata,144.693376547182,-18.9909454465154,-6.0302766927372,5.12466376072637,2.7866361711522
Nangura spinosa,152.231674427889,-26.1339714792681,-22.2730692363149,2.36682900967133,-4.49192827971446
Notoscincus ornatus,131.511683897727,-20.7416146484914,11.5832776396707,0.862201463827148,5.37074039880478
Ophioscincus ophioscincus,152.17973233273,-26.0854690786326,-5.24463005891837,12.8466951919749,0.683769041043782
Ophioscincus truncatus,152.878539583982,-28.7531753409485,1.04176125873603,16.4150646443056,0.536018771014195
Saiphos equalis,151.448405095675,-30.0870799368928,2.76976261731624,13.8206690416802,2.56826173214488
Silvascincus murrayi,152.521944126377,-29.5786554639834,3.06288812069927,17.5120857320178,1.0664785535041
Silvascincus tryoni,153.140195570667,-28.3052262551181,3.78023174699937,8.28008393226252,-2.90457814362368
Tumbunascincus luteilateralis,148.581462856741,-20.9911841095823,-3.03972097668783,11.7931921315217,-4.56291130846583
