"precip","x","y"
13.4436016082764,133.59375,-11.953125
13.3882112503052,142.03125,-11.953125
8.45672798156738,130.78125,-13.359375
10.6118612289429,133.59375,-13.359375
11.0636692047119,142.03125,-13.359375
2.7753701210022,127.96875,-14.765625
4.51108264923096,130.78125,-14.765625
7.98250818252563,133.59375,-14.765625
8.90526390075684,142.03125,-14.765625
2.7753701210022,125.15625,-16.171875
2.7753701210022,127.96875,-16.171875
4.51108264923096,130.78125,-16.171875
7.98250818252563,133.59375,-16.171875
7.98250818252563,136.40625,-16.171875
8.90526390075684,142.03125,-16.171875
8.90526390075684,144.84375,-16.171875
1.33941268920898,122.34375,-17.578125
2.09474277496338,125.15625,-17.578125
2.09474277496338,127.96875,-17.578125
3.61351943016052,130.78125,-17.578125
6.65107488632202,133.59375,-17.578125
6.65107488632202,136.40625,-17.578125
7.16132831573486,139.21875,-17.578125
7.41645479202271,142.03125,-17.578125
7.41645479202271,144.84375,-17.578125
0.172349601984024,122.34375,-18.984375
0.874836385250092,125.15625,-18.984375
0.874836385250092,127.96875,-18.984375
2.00479388237,130.78125,-18.984375
4.26470899581909,133.59375,-18.984375
4.26470899581909,136.40625,-18.984375
4.5869197845459,139.21875,-18.984375
4.74802446365356,142.03125,-18.984375
4.74802446365356,144.84375,-18.984375
0.172349601984024,119.53125,-20.390625
0.172349601984024,122.34375,-20.390625
0.874836385250092,125.15625,-20.390625
0.874836385250092,127.96875,-20.390625
2.00479388237,130.78125,-20.390625
4.26470899581909,133.59375,-20.390625
4.26470899581909,136.40625,-20.390625
4.5869197845459,139.21875,-20.390625
4.74802446365356,142.03125,-20.390625
4.74802446365356,144.84375,-20.390625
2.38551688194275,147.65625,-20.390625
0.164451017975807,116.71875,-21.796875
0.177427411079407,119.53125,-21.796875
0.177427411079407,122.34375,-21.796875
0.891275584697723,125.15625,-21.796875
0.891275584697723,127.96875,-21.796875
1.91816353797913,130.78125,-21.796875
3.97193932533264,133.59375,-21.796875
3.97193932533264,136.40625,-21.796875
4.30908632278442,139.21875,-21.796875
4.47766017913818,142.03125,-21.796875
4.47766017913818,144.84375,-21.796875
2.48737573623657,147.65625,-21.796875
0.0682728439569473,113.90625,-23.203125
0.154753118753433,116.71875,-23.203125
0.197993233799934,119.53125,-23.203125
0.197993233799934,122.34375,-23.203125
0.957855701446533,125.15625,-23.203125
0.957855701446533,127.96875,-23.203125
1.56730079650879,130.78125,-23.203125
2.7861909866333,133.59375,-23.203125
2.7861909866333,136.40625,-23.203125
3.18383169174194,139.21875,-23.203125
3.38265228271484,142.03125,-23.203125
3.38265228271484,144.84375,-23.203125
2.89991521835327,147.65625,-23.203125
2.89991521835327,150.46875,-23.203125
0.0682728439569473,113.90625,-24.609375
0.154753118753433,116.71875,-24.609375
0.197993233799934,119.53125,-24.609375
0.197993233799934,122.34375,-24.609375
0.957855701446533,125.15625,-24.609375
0.957855701446533,127.96875,-24.609375
1.56730079650879,130.78125,-24.609375
2.7861909866333,133.59375,-24.609375
2.7861909866333,136.40625,-24.609375
3.18383169174194,139.21875,-24.609375
3.38265228271484,142.03125,-24.609375
3.38265228271484,144.84375,-24.609375
2.89991521835327,147.65625,-24.609375
2.89991521835327,150.46875,-24.609375
0.166374012827873,116.71875,-26.015625
0.207652792334557,119.53125,-26.015625
0.207652792334557,122.34375,-26.015625
0.993097066879272,125.15625,-26.015625
0.993097066879272,127.96875,-26.015625
1.5916713476181,130.78125,-26.015625
2.78882002830505,133.59375,-26.015625
2.78882002830505,136.40625,-26.015625
3.18772792816162,139.21875,-26.015625
3.38718199729919,142.03125,-26.015625
3.38718199729919,144.84375,-26.015625
2.93331527709961,147.65625,-26.015625
2.93331527709961,150.46875,-26.015625
0.457576960325241,116.71875,-27.421875
0.449706882238388,119.53125,-27.421875
0.449706882238388,122.34375,-27.421875
1.87619352340698,125.15625,-27.421875
1.87619352340698,127.96875,-27.421875
2.20236277580261,130.78125,-27.421875
2.85470032691956,133.59375,-27.421875
2.85470032691956,136.40625,-27.421875
3.28536033630371,139.21875,-27.421875
3.50068998336792,142.03125,-27.421875
3.50068998336792,144.84375,-27.421875
3.77028012275696,147.65625,-27.421875
3.77028012275696,150.46875,-27.421875
0.457576960325241,116.71875,-28.828125
0.449706882238388,119.53125,-28.828125
0.449706882238388,122.34375,-28.828125
1.87619352340698,125.15625,-28.828125
1.87619352340698,127.96875,-28.828125
2.20236277580261,130.78125,-28.828125
2.85470032691956,133.59375,-28.828125
2.85470032691956,136.40625,-28.828125
3.28536033630371,139.21875,-28.828125
3.50068998336792,142.03125,-28.828125
3.50068998336792,144.84375,-28.828125
3.77028012275696,147.65625,-28.828125
3.77028012275696,150.46875,-28.828125
0.457576960325241,116.71875,-30.234375
0.449706882238388,119.53125,-30.234375
0.449706882238388,122.34375,-30.234375
1.87619352340698,125.15625,-30.234375
1.87619352340698,127.96875,-30.234375
2.20236301422119,130.78125,-30.234375
2.85470032691956,133.59375,-30.234375
2.85470032691956,136.40625,-30.234375
3.28536033630371,139.21875,-30.234375
3.50068998336792,142.03125,-30.234375
3.50068998336792,144.84375,-30.234375
3.77028012275696,147.65625,-30.234375
3.77028012275696,150.46875,-30.234375
1.07564866542816,116.71875,-31.640625
0.785828709602356,119.53125,-31.640625
0.785828709602356,122.34375,-31.640625
1.53564345836639,125.15625,-31.640625
1.53564345836639,127.96875,-31.640625
2.83093237876892,133.59375,-31.640625
2.83093237876892,136.40625,-31.640625
4.03137254714966,139.21875,-31.640625
4.63159275054932,142.03125,-31.640625
4.63159275054932,144.84375,-31.640625
4.96854972839355,147.65625,-31.640625
4.96854972839355,150.46875,-31.640625
1.16183757781982,116.71875,-33.046875
0.832700192928314,119.53125,-33.046875
0.832700192928314,122.34375,-33.046875
2.82761812210083,136.40625,-33.046875
4.13540267944336,139.21875,-33.046875
4.7892951965332,142.03125,-33.046875
4.7892951965332,144.84375,-33.046875
5.1356463432312,147.65625,-33.046875
5.1356463432312,150.46875,-33.046875
1.16183757781982,116.71875,-34.453125
4.13540267944336,139.21875,-34.453125
4.7892951965332,142.03125,-34.453125
4.7892951965332,144.84375,-34.453125
5.1356463432312,147.65625,-34.453125
3.68815207481384,142.03125,-35.859375
3.68815207481384,144.84375,-35.859375
4.31714868545532,147.65625,-35.859375
3.25241923332214,142.03125,-37.265625
3.25241923332214,144.84375,-37.265625
3.99326109886169,147.65625,-37.265625
