"ID","precip","x","y"
14981,3.51039026405287,133.59375,-11.953125
15109,5.0848459691564,142.03125,-11.953125
25343,3.30642038041153,130.78125,-13.359375
25399,2.68049277972065,133.59375,-13.359375
25568,3.3083915527678,142.03125,-13.359375
38618,2.98765226621321,127.96875,-14.765625
38674,2.49182755550565,130.78125,-14.765625
38730,2.35340182639245,133.59375,-14.765625
38899,2.99857626411704,142.03125,-14.765625
53658,2.29659142255946,125.15625,-16.171875
53714,2.07540035051976,127.96875,-16.171875
53770,1.86130055265015,130.78125,-16.171875
53826,2.01722102129321,133.59375,-16.171875
53883,2.8665845846167,136.40625,-16.171875
53995,2.6231621775539,142.03125,-16.171875
54051,8.79789166773614,144.84375,-16.171875
70460,1.83748121738107,122.34375,-17.578125
70517,1.81941130192291,125.15625,-17.578125
70573,1.69445591899812,127.96875,-17.578125
70629,1.56183442018523,130.78125,-17.578125
70685,1.39460644731776,133.59375,-17.578125
70742,1.81232036196312,136.40625,-17.578125
70798,2.04739219044105,139.21875,-17.578125
70854,2.07331972428987,142.03125,-17.578125
70910,5.89023932131246,144.84375,-17.578125
89082,1.43260782961157,122.34375,-18.984375
89139,1.33190968100295,125.15625,-18.984375
89195,1.3892402831697,127.96875,-18.984375
89251,1.29245724113407,130.78125,-18.984375
89307,1.1854893908282,133.59375,-18.984375
89364,1.19901438040084,136.40625,-18.984375
89420,1.59326489374786,139.21875,-18.984375
89476,1.853141643673,142.03125,-18.984375
89532,1.71112933671287,144.84375,-18.984375
109412,1.16495550992471,119.53125,-20.390625
109468,1.18576319261743,122.34375,-20.390625
109525,1.07879534231156,125.15625,-20.390625
109581,1.05661873422527,127.96875,-20.390625
109637,1.04219029065601,130.78125,-20.390625
109693,1.05054070213574,133.59375,-20.390625
109750,0.925338839113835,136.40625,-20.390625
109806,1.43367563152379,139.21875,-20.390625
109862,1.21667355139887,142.03125,-20.390625
109918,1.49656398389374,144.84375,-20.390625
109975,4.64098561291496,147.65625,-20.390625
131420,1.30127312401074,116.71875,-21.796875
131476,1.03164954841504,119.53125,-21.796875
131532,0.98674881221659,122.34375,-21.796875
131589,0.965201939890272,125.15625,-21.796875
131645,0.843175910255176,127.96875,-21.796875
131701,0.895934264844285,130.78125,-21.796875
131757,0.779219672420431,133.59375,-21.796875
131814,0.74540728204141,136.40625,-21.796875
131870,0.739274439462483,139.21875,-21.796875
131926,1.00101299142283,142.03125,-21.796875
131982,1.31091032870252,144.84375,-21.796875
132039,1.71282679083248,147.65625,-21.796875
155066,0.682053374721937,113.90625,-23.203125
155122,0.807145783870209,116.71875,-23.203125
155178,0.875181392640957,119.53125,-23.203125
155234,0.900260115877396,122.34375,-23.203125
155291,0.854483247374444,125.15625,-23.203125
155347,0.835290886619824,127.96875,-23.203125
155403,0.845147166164014,130.78125,-23.203125
155459,0.719342889074264,133.59375,-23.203125
155516,0.538644778899833,136.40625,-23.203125
155572,0.65757698200077,139.21875,-23.203125
155628,0.909650924024641,142.03125,-23.203125
155684,1.40763864380133,144.84375,-23.203125
155741,1.89618074494139,147.65625,-23.203125
155797,2.63540045746706,150.46875,-23.203125
178479,0.602381941882165,113.90625,-24.609375
178535,0.641013018159651,116.71875,-24.609375
178591,0.80125942138839,119.53125,-24.609375
178647,0.839178671500684,122.34375,-24.609375
178704,0.831512639165169,125.15625,-24.609375
178760,0.892895290575804,127.96875,-24.609375
178816,0.62581793793581,130.78125,-24.609375
178872,0.44887062819505,133.59375,-24.609375
178929,0.42387407891641,136.40625,-24.609375
178985,0.546885694729637,139.21875,-24.609375
179041,0.884599606032897,142.03125,-24.609375
179097,1.32172487273272,144.84375,-24.609375
179154,1.7577824210729,147.65625,-24.609375
179210,1.96848731070329,150.46875,-24.609375
202027,0.66245039483605,116.71875,-26.015625
202083,0.759644056002952,119.53125,-26.015625
202139,0.757508535731092,122.34375,-26.015625
202196,0.800602363936302,125.15625,-26.015625
202252,0.788993819783111,127.96875,-26.015625
202308,0.638384663022438,130.78125,-26.015625
202364,0.518877492874636,133.59375,-26.015625
202421,0.381957548273336,136.40625,-26.015625
202477,0.488733728971488,139.21875,-26.015625
202533,0.74967832258513,142.03125,-26.015625
202589,1.15509923038052,144.84375,-26.015625
202646,1.44476389379064,147.65625,-26.015625
202702,1.8680629638839,150.46875,-26.015625
225519,0.718631104685361,116.71875,-27.421875
225575,0.74970564427725,119.53125,-27.421875
225631,0.742121827675821,122.34375,-27.421875
225688,0.698343620326403,125.15625,-27.421875
225744,0.648925405263411,127.96875,-27.421875
225800,0.569856261162624,130.78125,-27.421875
225856,0.4081314368904,133.59375,-27.421875
225913,0.370458583322639,136.40625,-27.421875
225969,0.432744688729894,139.21875,-27.421875
226025,0.677097871481434,142.03125,-27.421875
226081,0.910527056329141,144.84375,-27.421875
226138,1.40312112316051,147.65625,-27.421875
226194,1.68331284624187,150.46875,-27.421875
248731,0.725667317708333,116.71875,-28.828125
248787,0.774757045821569,119.53125,-28.828125
248843,0.731718028105749,122.34375,-28.828125
248900,0.568131401798319,125.15625,-28.828125
248956,0.541738521881417,127.96875,-28.828125
249012,0.494620133229594,130.78125,-28.828125
249068,0.409911023191521,133.59375,-28.828125
249125,0.386475027137876,136.40625,-28.828125
249181,0.42086242634005,139.21875,-28.828125
249237,0.636468175826703,142.03125,-28.828125
249293,0.983737159640229,144.84375,-28.828125
249350,1.40662565237851,147.65625,-28.828125
249406,2.18748796842916,150.46875,-28.828125
271439,0.827926061318232,116.71875,-30.234375
